metric,record_count,team
distance_total,40803,Womens Soccer
accel_load_accum,40803,Womens Soccer
event_count_exertion_category3,40803,Womens Soccer
event_count_exertion_avg_per_minute,40803,Womens Soccer
event_count_exertion_category1,40803,Womens Soccer
event_count_exertion_category2_avg_per_minute,40803,Womens Soccer
event_count_exertion_category3_avg_per_minute,40803,Womens Soccer
event_count_exertion_category2,40803,Womens Soccer
event_count_exertion,40803,Womens Soccer
event_count_exertion_category1_avg_per_minute,40803,Womens Soccer
